vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/isdoutff/fsn00/mgd1.qpckb 75 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd1.qpd 76 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd1n.qna 77 200 680 nsvt n ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd1n.qpa 78 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd2.qnck 79 200 340 nsvt n ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd2.qnd 80 200 340 nsvt n ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd2.qpckb 81 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgd2.qpd 82 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgtd1.qns 83 200 340 nsvt n ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgtd1.qpsb 84 200 680 psvt p ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgtd2.qns 85 200 340 nsvt n ec0fsn000al1n02x5
adc/adc/isdoutff/fsn00/mgtd2.qpsb 86 200 680 psvt p ec0fsn000al1n02x5
adc/adc/idecoder/inv00/mqn1 87 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv00/mqp1 88 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/inv01/mqn1 89 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv01/mqp1 90 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/inv02/mqn1 91 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv02/mqp1 92 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/inv03/mqn1 93 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv03/mqp1 94 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/inv04/mqn1 95 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv04/mqp1 96 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/inv05/mqn1 97 200 680 nsvt n ec0inv000al1n02x5
adc/adc/idecoder/inv05/mqp1 98 200 680 psvt p ec0inv000al1n02x5
adc/adc/idecoder/nand0/mqn1 99 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand0/mqn2 100 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand0/mqp1 101 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand0/mqp2 102 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand1/mqn1 103 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand1/mqn2 104 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand1/mqp1 105 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand1/mqp2 106 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand2/mqn1 107 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand2/mqn2 108 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand2/mqp1 109 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand2/mqp2 110 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand3/mqn1 111 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand3/mqn2 112 200 680 nsvt n ec0nand02al1n02x5
adc/adc/idecoder/nand3/mqp1 113 200 680 psvt p ec0nand02al1n02x5
adc/adc/idecoder/nand3/mqp2 114 200 680 psvt p ec0nand02al1n02x5
adc/adc/ifreezelogic/inv00/mqn1 115 200 3060 nsvt n ec0inv000al1n09x5
adc/adc/ifreezelogic/inv00/mqp1 116 200 3060 psvt p ec0inv000al1n09x5
adc/adc/ifreezelogic/inv01/mqn1 117 200 3060 nsvt n ec0inv000al1n09x5
adc/adc/ifreezelogic/inv01/mqp1 118 200 3060 psvt p ec0inv000al1n09x5
adc/adc/ifreezelogic/inv05/mqn1 119 200 680 nsvt n ec0inv000al1n02x5
adc/adc/ifreezelogic/inv05/mqp1 120 200 680 psvt p ec0inv000al1n02x5
adc/adc/ifreezelogic/bfm20/mg101.qna 121 200 680 nsvt n ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm20/mg101.qpa 122 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm20/mqn1 123 200 680 nsvt n ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm20/mqn2 124 200 680 nsvt n ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm20/mqp1 125 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm20/mqp2 126 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm21/mg101.qna 127 200 680 nsvt n ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm21/mg101.qpa 128 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm21/mqn1 129 200 680 nsvt n ec0bfm201al1n02x5
